Page Title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit
The Rent Ordinance | Rent Board,"4,157","2,450",0:00:35,951,17.14,10.87
San Francisco Public Works : Volunteer Opportunities,"4,153","1,873",0:00:21,"1,200",17.67,25.57
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 855 Folsom Street, Unit 302","4,151","3,482",0:01:50,"1,880",77.77,48.88
Notification of 2015-2016 Business Registration Renewal Deficiency | Treasurer & Tax Collector,"4,146","3,341",0:02:18,133,57.35,32.8
Contact Us and Locations | Department of Child Support Services,"4,138","3,273",0:02:07,"1,153",66,54.57
Mayor's Office of Housing and Community Development : Teacher Next Door Program (TND),"4,137","3,794",0:02:27,"2,749",82.28,65.68
San Francisco Police Department : Additional Loss Report Form,"4,132","3,709",0:01:33,"1,071",74.79,44.89
Office of the Mayor : News Releases : Mayor Lee’s Statement on Indiana’s Discriminatory Law Against LGBT Individuals,"4,129","3,887",0:02:11,"3,723",91.03,88.69
Request for Duplication of Official Building Plans | Department of Building Inspection,"4,122","3,014",0:03:01,"1,853",67.35,55.56
San Francisco Department of Human Resources : Family Friendly Workplace Ordinance,"4,119","3,711",0:01:34,"1,075",83.53,39.55
Reports | Department of Building Inspection,"4,108","3,202",0:00:54,351,29.06,17.23
San Francisco Fire Department : Division of Emergency Medical Services,"4,105","2,992",0:01:05,"1,039",69.1,34.28
Mayor's Office of Housing and Community Development : ELLIS ACT HOUSING PREFERENCE PROGRAM,"4,102","3,736",0:02:20,"1,547",79.38,49.29
Home | Office of Community Investment and Infrastructure,"4,090","2,943",0:01:08,"2,455",27.06,23.74
Film Commission : Get a Permit,"4,089","3,152",0:00:48,"1,316",49.62,27.02
City and County of San Francisco : Contact Us/Intake Form,"4,086","2,770",0:03:13,401,51.62,40.94
Controller : Job Opportunities,"4,086","3,539",0:01:28,"1,537",87.05,52.5
Mayor's Office of Housing and Community Development : How Income is Reviewed for Inclusionary Housing Program Units,"4,066","3,650",0:03:28,"1,842",68.08,56.37
Employee Forms & Information | Treasurer & Tax Collector,"4,063","3,058",0:02:30,"2,086",64.32,56.29
City and County of San Francisco : G. Contributing to the City Option,"4,062","2,872",0:02:16,318,51.57,28.11
Mayor's Office of Housing and Community Development : Multifamily Units: Broadway Sansome Apartments,"4,061","3,640",0:02:08,"1,123",82.19,42.45
H-2: Entry-Level Firefighter | Fire Department,"4,057","3,435",0:03:32,"1,334",50.04,65.25
Controller : Electronic Payments to Vendors,"4,055","3,612",0:02:28,"3,412",81.13,77.09
San Francisco Port Department : Freqently Asked Questions,"4,047","1,744",0:00:35,629,24.8,22.54
"Mayor's Office of Housing and Community Development : BMR Resale: 25 Sierra Street, Unit E311","4,031","3,227",0:02:42,"2,086",69.85,56.91
San Francisco Port Department : Real Estate,"4,012","1,768",0:00:23,402,18.66,11.49
Board of Supervisors : Contacts for the Office of the Clerk of the Board,"4,011","3,257",0:02:43,940,76.06,51.96
Office of the Mayor : Contact the Press Room,"4,011","3,435",0:01:54,"1,021",76.1,51.26
Pet Details Page | Animal Care & Control,"4,009","3,698",0:00:54,"1,393",42.96,30.88
San Francisco Public Works : Posting Signs,"3,996","2,259",0:01:11,"2,067",39.96,51.28
Mayor's Office of Housing : New BMR Units: 1645 Pacific Avenue,"3,994","3,187",0:01:38,819,85.71,31.5
"Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 1 Polk Street, Unit 1008","3,992","3,514",0:02:46,"2,897",83.71,71.82
San Francisco GovTV : Redirect,"3,992","3,727",0:01:20,"3,723",93.02,91.48
Records Management Division | Department of Building Inspection,"3,986","2,889",0:01:44,211,49.53,25.46
San Francisco Fire Department : Fire Reports,"3,982","3,553",0:01:27,"1,767",79.46,57.01
San Francisco Fire Department : Fire Department Visits,"3,979","3,434",0:00:50,800,83.88,34.88
Southeast Community Facility Commission,"3,958","3,014",0:00:40,"2,440",25.16,26.43
"Mayor's Office of Housing : BMR Resale: 501 Beale Street, Unit 1A","3,956","3,235",0:01:47,"1,687",75.64,47.12
SFGov : Contact Us,"3,955","3,252",0:01:06,"1,210",89.01,52.52
City and County of San Francisco : Poll Workers,"3,952","3,006",0:01:04,"1,405",59.22,40.16
San Francisco Department of Human Resources : Professional Development Programs,"3,939","3,062",0:01:41,472,54.45,26.94
San Francisco Department of Human Resources : New Employee Orientation Video,"3,930","2,327",0:05:56,385,38.44,16.03
City and County of San Francisco : Fees - Fictitious Business Names (FBN),"3,920","3,273",0:01:24,374,68.72,30
San Francisco Police Department : PERMITS,"3,907","2,696",0:01:04,"1,940",58.25,42.41
Office of the Mayor : About the Mayor,"3,904","3,479",0:02:04,"1,167",85.52,57.81
Tax Collector Regulations | Treasurer & Tax Collector,"3,896","1,733",0:00:47,90,34.44,9.96
San Francisco : Housing & Utilities,"3,895","3,224",0:01:54,"1,852",56.91,51.68
San Francisco Food,"3,885","2,876",0:00:59,"2,112",42.71,37.25
Online Reservations | Office of the County Clerk,"3,881","3,463",0:07:45,331,37.69,67.3
Board of Supervisors : Land Use & Economic Development Committee Meetings,"3,879","2,699",0:00:57,572,49.13,23.28
San Francisco Rent Board : Topic No. 257: Minimum Heat Requirements,"3,872","3,483",0:01:51,"1,688",81.69,48.11
City and County of San Francisco : ABOUT PROJECT PULL,"3,869","2,982",0:00:54,"1,507",42.87,33.6
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 2428 Bayshore Blvd., Unit 8","3,844","3,164",0:01:38,"1,168",80.39,38.81
Gross Receipts Tax & Payroll Expense Tax Statement: Tax filing & payment due (if applicable) for previous year | Treasurer & Tax Collector,"3,841","3,123",0:00:27,139,30.22,4.63
San Francisco Law Library : Free or Low-Cost Legal Services,"3,840","2,563",0:03:06,"2,309",73.54,61.9
Board of Supervisors : Ordinances 2014,"3,797","2,700",0:01:21,448,71.65,28.92
Mayor's Office of Housing and Community Development : Mortgage Credit Certificate Program (MCC),"3,792","3,482",0:02:57,"1,863",82.93,57.44
Programs | Adult Probation Department,"3,788","2,735",0:01:27,967,66.74,38.28
Complaints | Office of Citizen Complaints,"3,784","2,206",0:00:41,168,50,19.56
San Francisco 311 : DPH - Office of Vital Records - Birth and Death FAQs - 107118,"3,782","3,290",0:02:48,"2,842",84.31,75.25
Complaint Process | Office of Citizen Complaints,"3,776","2,895",0:01:55,"1,392",71.41,48.54
San Francisco 311 : The Curb Painting Process,"3,767","3,194",0:04:16,"2,901",82.11,78.44
SFGov : Rules,"3,749","2,860",0:01:39,"2,834",68.7,63.67
San Francisco Rent Board : Topic No. 203: Notice Requirements for Evictions Based on Owner or Relative Move-in,"3,747","3,294",0:02:29,899,69.97,35.01
Forms & Documents | Office of the County Clerk,"3,734","2,627",0:00:26,60,23.21,8.97
City and County of San Francisco : 12B Equal Benefits Program,"3,727","2,810",0:00:53,833,42.14,17.71
Controller : Comprehensive Annual Financial Report (CAFR),"3,723","3,083",0:01:50,"2,788",76.97,66.51
San Francisco Rent Board : INFO-TO-GO (Chinese),"3,719","1,458",0:00:46,545,68.07,15.3
San Francisco Public Works : Budget,"3,714","1,742",0:00:27,940,15.74,29.64
Code Interpretations | Department of Building Inspection,"3,709","2,371",0:01:23,724,50.48,25.05
San Francisco Public Works : Public Toilets and Kiosks,"3,706","2,249",0:00:48,"2,040",44.26,54.78
City and County of San Francisco : Give2SF,"3,701","1,990",0:02:02,"1,698",60.42,39.56
San Francisco Department of Human Resources : Disaster Service Workers,"3,698","3,033",0:01:06,"1,277",60.45,32.34
City and County of San Francisco : Procedures,"3,695","2,757",0:01:04,334,62.57,28.66
City and County of San Francisco : How to Certify your Local Business with us and/or become a City Vendor,"3,681","3,226",0:02:04,"1,225",50.29,35.86
City and County of San Francisco : Legally Adjudicated Newspapers,"3,668","2,650",0:02:23,842,76.25,43.08
San Francisco Port Department : Historic Preservation,"3,664","1,297",0:00:41,"1,086",0.74,30.1
San Francisco Port Department : Recreational Boating,"3,663","1,281",0:00:37,957,16.93,25.09
San Francisco Police Department : SFPD History,"3,659","3,342",0:03:15,"2,508",84.09,69.77
San Francisco Public Works : Parklets,"3,650","1,822",0:00:47,"1,608",20.34,44.03
City and County of San Francisco : New San Francisco Supervisorial District Map,"3,648","1,704",0:01:18,"1,338",45.14,38.93
San Francisco Department of Human Resources : Recruitment Resources,"3,647","2,959",0:00:53,330,70.91,16.89
Controller,"3,639","3,076",0:01:02,"2,311",87.36,63.37
San Francisco Port Department : Parks and Open Spaces,"3,630","1,387",0:00:37,428,7.48,20.77
San Francisco Port Department : Waterfront Land Use Plan Update,"3,628","1,461",0:00:47,"1,114",9.07,29.63
Board of Supervisors : Budget & Legislative Analyst,"3,626","2,890",0:00:46,"1,443",46.15,29.18
San Francisco Ethics Commission: Lobbyists - Research and Filings,"3,625","2,839",0:03:07,857,49.59,47.81
City and County of San Francisco : Important Election Dates and Deadlines,"3,618","3,380",0:02:46,"2,761",83.92,77.56
San Francisco Rent Board : Topic No. 157: Evictions of Roommates and Subtenants,"3,615","3,233",0:01:37,657,80.82,30.59
San Francisco Department of Emergency Management : Connect,"3,612","3,186",0:01:37,"1,415",83.96,58.03
For Your Information - Page Not Found | Office of the City Administrator,"3,608","3,212",0:01:49,"2,859",76.57,74.06
Board of Supervisors : Budget & Finance Committee,"3,604","2,697",0:00:46,"1,415",33.64,21
San Francisco Department of Human Resources : DHR Memos,"3,596","2,816",0:01:24,556,71.4,24.36
Cities for CEDAW | Department on the Status of Women,"3,592","2,156",0:02:18,"2,027",53.1,50.84
City and County of San Francisco : Immigrant Rights Commission,"3,592","2,192",0:00:54,"1,291",49.11,25.95
"Mayor's Office of Housing : Income Limits, Rent Limits, Price Level Information","3,592","3,049",0:00:46,"1,054",63.19,29.04
Treasure Island Events and Leasing Opportunities | Treasure Island Development Authority,"3,585","2,759",0:00:23,148,44.59,13.95
City and County of San Francisco : Start and Grow Your Business in TEN STEPS!,"3,584","2,702",0:01:22,"2,409",48.32,42.58
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 888 7th Street, Unit 308","3,582","3,099",0:01:49,"1,722",76.19,52.35
San Francisco Department of Human Resources : Job FAQ,"3,580","3,133",0:01:47,"1,042",69.1,39.8
2014 Gross Receipts Tax and Payroll Expense Tax Annual Practice Return | Treasurer & Tax Collector,"3,570","2,075",0:04:12,"1,241",51.33,38.91
City and County of San Francisco : Ballot Simplification Committee - November 2015,"3,567","1,752",0:02:42,"1,210",68.35,39.39
City and County of San Francisco : P. Expenditures and Enforcement Guidance for 2014,"3,556","2,815",0:02:00,490,49.8,23.26
San Francisco Port Department : Commercial Fishing,"3,552","1,349",0:00:33,"1,002",27.05,28.52
San Francisco 311 : Animals and Pets,"3,550","2,736",0:00:46,320,85,30.39
San Francisco Public Works : Community Clean Team - Gigantic 3 Recycling Program,"3,548","1,829",0:00:41,"1,584",30.87,46.51
San Francisco Rent Board : Section 37.9A Tenant Rights in Certain Displacements Under Section 37.9(a)(13),"3,544","3,045",0:02:59,"1,036",61.58,43.79
Mayor's Office of Housing and Community Development : Certificate of Preference,"3,544","3,208",0:01:48,"1,735",72.45,46.33
San Francisco Public Works : Street Resurfacing Program,"3,543","1,474",0:00:40,"1,078",12.06,29.35
San Francisco Public Works : Sandbag Pick Up,"3,542","1,860",0:00:41,"1,701",25.93,47.54
San Francisco Public Works : Mobile Storage Container Site,"3,541","1,737",0:01:06,"1,467",21.06,41.43
San Francisco Police Department : Traffic Collision Report,"3,541","3,132",0:02:38,"2,325",75.53,64.87
San Francisco 311 : Affordable Rental Units in San Francisco - 106806,"3,537","2,280",0:01:38,"2,244",69.92,62.99
San Francisco Public Works : Second Street Improvement Project,"3,529","1,769",0:00:46,"1,670",23.89,45.23
San Francisco Department of Emergency Management : Search,"3,525","3,365",0:01:18,676,93.05,46.81
Mayor's Office of Housing and Community Development : Moderate Income Rental Units: 308 Turk Street,"3,520","3,145",0:01:44,"1,698",79.03,53.69
City and County of San Francisco : Vendor Registration Portal,"3,518","2,681",0:03:01,"1,265",60.55,46.59
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 101 Harrison Street, Unit 202","3,512","2,878",0:02:00,"1,600",76.69,48.95
San Francisco Department of Human Resources : 24-PLUS for Supervisors and Managers,"3,510","2,693",0:03:06,"1,309",68.53,49.86
Health and Social Services | Welcome,"3,507","2,448",0:01:37,983,35.19,38.81
Biographies | Treasurer & Tax Collector,"3,506","2,966",0:01:51,"1,497",73.15,53.37
San Francisco Rent Board : Commission Meetings,"3,502","2,667",0:00:58,567,52.38,21.02
San Francisco Public Works : California Laurel Village Streetscape Improvements,"3,490","1,122",0:00:38,908,19.49,27.77
San Francisco Rent Board : 37.9E Tenant Buyout Agreements,"3,482","3,083",0:04:34,"1,869",74.8,63.53
Online Filing Technical Issues | Treasurer & Tax Collector,"3,475","3,088",0:01:26,138,58.39,18.07
San Francisco Rent Board : Section 37.10B Tenant Harassment,"3,467","3,069",0:03:48,"1,701",78.42,63.74
San Francisco Fire Department : Ambulance Billing,"3,461","2,927",0:01:12,"2,143",58.56,47.04
San Francisco Port Department : Port Commission,"3,460","1,495",0:00:22,497,16.5,19.51
San Francisco Public Works : Streets with DPW-Maintained Trees,"3,454","1,822",0:01:04,"1,048",31.2,33.38
San Francisco Fire Department : Services,"3,453","2,791",0:00:42,586,65.19,24.47
City and County of San Francisco : Contact,"3,451","2,851",0:02:29,694,71.9,51.78
San Francisco Public Works : Building Division - DPW Design & Construction,"3,450","1,619",0:00:31,958,15.45,28.43
San Francisco Police Department : San Francisco Police Cadet Program,"3,439","3,061",0:03:03,"1,996",75.5,63.07
San Francisco Public Works : San Francisco Public Utilities Commission (SFPUC) Headquarters at 525 Golden Gate,"3,436","1,709",0:00:32,"1,589",20.39,40.8
2015/16 Prequalified Artist Pool Request for Qualifications | San Francisco Arts Commission,"3,436","3,059",0:05:31,"2,971",87.31,85.01
Rule 120 Leaves of Absence | Civil Service Commission,"3,424","3,100",0:04:33,"1,996",88.63,78.5
City and County of San Francisco : SF Elections Live,"3,416","2,262",0:01:34,"1,260",60.48,38.99
Visual Arts Committee | San Francisco Arts Commission,"3,415","1,882",0:00:18,72,29.17,5.83
Topic No. 051: This Year's Annual Allowable Increase | Rent Board,"3,412","2,791",0:01:56,"1,392",65.52,49.68
San Francisco Rent Board : About Us,"3,404","2,744",0:00:23,398,40.95,14.13
Casa de la Vista | Treasure Island Development Authority,"3,398","2,797",0:01:34,"2,200",72,60.18
San Francisco Port Department : Business,"3,398","1,663",0:00:19,202,20.3,14.16
City and County of San Francisco : Apply to be a Poll Worker!,"3,394","2,735",0:02:09,"1,852",72.84,58.13
City and County of San Francisco : Seismic Retrofit Financing,"3,392","2,755",0:02:50,"1,608",67.85,55.16
City and County of San Francisco : Service and Support Animals,"3,386","2,669",0:03:33,"2,057",82.35,67.75
San Francisco Department of Human Resources : Workforce Development Division,"3,386","2,843",0:00:33,321,78.82,17.54
Superior Court | Welcome,"3,386","2,741",0:01:40,"2,182",29.78,60.84
Mayor's Office of Housing : Search,"3,384","3,160",0:01:41,838,89.98,45.3
Events | Treasurer & Tax Collector,"3,379","2,859",0:01:09,569,26.54,17.9
Board of Supervisors : General Information,"3,376","2,551",0:01:18,304,80.92,24.26
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 750 Van Ness Avenue, Unit V502","3,376","2,812",0:01:44,"1,578",79.34,50.89
San Francisco 311 : Online,"3,372","2,659",0:00:51,267,85.39,34.1
Mayor's Office of Housing and Community Development : Limited Equity Program,"3,372","2,862",0:02:42,"1,409",73.74,45.46
San Francisco District Attorney : About,"3,368","2,528",0:00:37,467,81.16,23.43
City and County of San Francisco : SF Administrative Code CHAPTER 62,"3,367","2,846",0:02:48,"1,660",68.8,56.49
(not set),"3,365","2,746",0:01:28,"1,951",76.01,57.53
San Francisco 311 : Report Graffiti,"3,361","2,702",0:03:05,"1,091",67.92,59.95
About the Treasure Island Development Authority | Treasure Island Development Authority,"3,356","2,631",0:00:48,756,37.35,24.46
Mayor's Office of Housing : BMR Resale Unit: 888 7th Street. Unit 238,"3,354","2,670",0:02:33,"2,363",76.47,66.64
Office of the Mayor : Contact,"3,352","2,882",0:02:53,"1,083",79.22,66.05
Contact Us | Rent Board,"3,349","2,688",0:03:01,"1,399",66.52,58.91
"Boards, Commissions, and Task Forces | Department of Building Inspection","3,349","2,190",0:00:32,350,22.86,11.14
San Francisco Department of Human Resources : Online Tuition Reimbursement Process- Required Documentation,"3,347","2,800",0:02:32,"1,502",76.9,50.55
San Francisco Port Department : Site Map,"3,342","1,485",0:00:17,197,10.66,12.12
San Francisco Port Department : History,"3,342","1,452",0:00:36,876,15.18,28.49
San Francisco Public Works : Micro-surfacing Pavement Preservation Program,"3,342","1,698",0:00:35,"1,508",23.67,45.06
San Francisco Fire Department : H-3 Level II: Paramedic,"3,334","2,904",0:01:28,990,69.7,48.92
Fine Arts Museums of San Francisco,"3,330","2,676",0:00:32,"2,023",46.71,37.87
Office of the Mayor,"3,323","1,437",0:00:42,544,74.26,14.78
Civic Design Review Committee | San Francisco Arts Commission,"3,322","1,990",0:00:17,185,21.08,8.19
San Francisco Port Department : Port Events : Golden Princess (cruise ship),"3,316","1,706",0:00:39,254,35.43,23.34
City and County of San Francisco : Second Floor,"3,315","2,570",0:00:20,65,53.85,5.97
San Francisco Ethics Commission: Lobbyists - Forms and Manuals,"3,314","1,870",0:02:24,574,49.13,31.05
San Francisco Port Department : 2014,"3,312",837,0:00:08,147,0,5.04
San Francisco Department of Human Resources : Online Tuition Reimbursement Process-SFGH Interns & Residents,"3,306","2,804",0:03:42,"2,261",82.22,75.23
San Francisco Rent Board : Topic No. 205: Evictions Pursuant to the Ellis Act,"3,306","2,921",0:02:38,"1,289",81.92,48.73
San Francisco Port Department : Finance & Administration,"3,288","1,303",0:00:34,348,3.16,18.4
San Francisco 311 : Transit and Travel Tools,"3,286","2,910",0:00:53,435,80.46,39.93
San Francisco Ethics Commission: Campaign Finance - Research and Filings,"3,275","2,484",0:00:13,289,6.23,2.69
San Francisco Port Department : Crane Cove Park,"3,259","1,391",0:00:43,"1,092",8.88,33.05
City and County of San Francisco : Forms - Domestic Partnership,"3,258","2,916",0:02:27,291,70.45,43.68
Mayor's Office of Housing and Community Development : Inclusionary Housing Program Overview,"3,258","2,753",0:00:38,567,86.6,21.09
San Francisco Department of Human Resources : Links and Publications,"3,254","2,700",0:00:46,393,91.09,21.08
San Francisco Fire Department : Minutes,"3,252","2,517",0:00:06,419,68.74,12.88
San Francisco Department of Human Resources : Disaster Service Worker Training,"3,251","2,539",0:02:34,"1,326",64.1,44.72
San Francisco 311 : San Francisco City Parks,"3,248","2,602",0:00:37,855,55.67,25.8
Online Submission Received | Treasurer & Tax Collector,"3,247","3,119",0:03:53,"2,771",91.07,93.1
City and County of San Francisco : J. Employer Reporting Requirements,"3,239","2,355",0:00:48,163,24.54,10.31
SFERS : Contact Us,"3,237","2,915",0:02:44,"1,862",81.63,71.33
City and County of San Francisco : Educational Presentations & Materials,"3,229","2,567",0:01:17,698,70.2,32.33
Statute of Limitations for Tax Refunds | Treasurer & Tax Collector,"3,217","2,379",0:03:07,868,62.14,45.01
City and County of San Francisco : Request for Information (RFI) - New Voting System,"3,216","2,307",0:02:42,"2,164",83.04,65.83
San Francisco 311 : Water,"3,215","2,833",0:02:58,"1,796",82.96,75.37
DBI Organizational Charts | Department of Building Inspection,"3,213","1,625",0:01:48,854,36.73,35.79
San Francisco Department of Human Resources : DHR Organizational Structure,"3,206","2,733",0:00:50,516,77.91,24.11
"Department of Children, Youth and Their Families : DCYF Contact List","3,197","2,834",0:02:20,"1,306",82.86,69.6
Search | Treasure Island Development Authority,"3,197","2,659",0:00:35,348,14.66,15.55
San Francisco Rent Board : Topic No. 152: Charging For Additional Occupants Prohibited,"3,193","2,834",0:01:16,596,73.99,24.96
Office of the Mayor : Budget Documents,"3,191","2,750",0:03:26,"1,899",79.15,72.36
San Francisco 311 : Blocked Public Right of Way,"3,190","2,369",0:00:46,665,30.08,21
San Francisco Police Department : San Francisco Police Department Headquarters,"3,189","2,820",0:03:15,"1,586",86.89,63.81
Office of Economic and Workforce Development : About Us,"3,185","2,601",0:01:18,"1,098",70.77,43.96
Mayor's Office of Housing : Documents Governing and Explaining the Inclusionary Housing Program,"3,181","2,766",0:02:27,969,84,50.08
Transient Occupancy Tax (TOT) Information for Short-term Residential Rental Hosts and Website Companies | Treasurer & Tax Collector,"3,176","2,104",0:00:37,423,30.26,10.17
San Francisco Department of Emergency Management : Become a Dispatcher,"3,172","2,454",0:02:53,"2,419",70.07,68.16
San Francisco Police Department : Bureau,"3,171","2,484",0:00:24,587,88.76,23.56
Certified Energy and Water Conservation Inspectors | Department of Building Inspection,"3,164","2,589",0:02:34,"1,494",77.58,57.08
Board of Supervisors : Forms and Documents,"3,156","2,166",0:02:18,858,66.08,48.67
San Francisco Police Department : Basic Academy,"3,154","2,779",0:02:42,"1,245",79.6,49.46
Mayor's Office of Housing : Former SFRA Housing Programs,"3,144","2,516",0:01:48,"2,024",50.3,44.53
San Francisco Port Department : Port Events : Star Princess (cruise ship),"3,137","1,628",0:00:33,213,24.88,22.22
San Francisco Rent Board : The Mission of the Rent Board,"3,136","2,705",0:00:58,981,80.94,42.06
San Francisco Public Works : Significant and Landmark Trees,"3,134","1,600",0:00:47,876,22.49,34.05
San Francisco : Recreation and Park Department,"3,131","2,594",0:02:23,"2,180",80.05,76.21
San Francisco : Health & Social Services,"3,127","2,453",0:01:43,"1,710",55.38,47.04
Mayor's Office of Housing and Community Development : Inclusionary Housing Program Developer and Agent Information,"3,121","2,540",0:02:00,"1,660",68.07,52.39
Board of Supervisors : Reports,"3,116","2,116",0:02:06,859,78.23,49.07
San Francisco Public Works : Mechanical Street Sweeping and Holiday Schedule,"3,110","1,951",0:00:30,466,28.11,23.89
San Francisco Port Department : Luggage Storage,"3,107","1,330",0:00:32,670,13.58,26.87
Office of the Mayor : Mayoral Appointments,"3,105","2,684",0:01:17,"1,091",83.32,50.79
San Francisco Rent Board : Rent Board Referral Listing,"3,105","2,631",0:02:52,856,80.96,47.09
Office of the Mayor : News Releases : Mayor Lee & Supervisor Farrell Introduce Reforms to City’s Short-Term Rental Law,"3,104","2,952",0:03:32,"2,879",94.27,92.85
"Mayor's Office of Housing and Community Development : BMR Resale Unit: 301 Crescent Way, Unit 3302","3,100","2,616",0:01:53,"1,453",80.45,51.39
SFERS : SFERS' Pension Plan,"3,097","2,404",0:00:44,"1,241",79.05,38.84
San Francisco Public Works : Project Manual and Reference Documents,"3,086","1,397",0:00:41,615,9.76,23.78
San Francisco Public Works : Public Records Request,"3,079","1,441",0:00:43,697,11.76,31.11
SFGov : About the CIO,"3,078","2,390",0:01:12,"1,568",75.38,51.92
Office of the Mayor : News Releases : Mayor Lee’s Statement on Death of Kathryn Steinle & San Francisco’s Sanctuary City Policy,"3,076","2,923",0:02:23,"2,164",95.06,79.88
City and County of San Francisco : Other Services,"3,071","2,488",0:00:25,35,57.14,14.91
San Francisco Police Department : SFPD Social Media,"3,055","2,719",0:01:38,773,90.69,51.16
City and County of San Francisco : Historical Voter Turnout,"3,047","2,532",0:02:40,"1,850",75.14,61.47
Contact Us | Department on the Status of Women,"3,040","2,334",0:01:43,521,58.81,41.22
On Probation | Adult Probation Department,"3,038","2,247",0:00:52,277,55.96,21.79
Controller : Financial & Budget,"3,036","2,414",0:00:39,991,61.45,30.01
Controller : Controller's Biography,"3,034","2,755",0:01:21,"1,408",85.3,56.62
San Francisco : Taxes,"3,033","2,607",0:01:35,"1,678",57.99,53.28
Mayor's Office of Housing : BMR LEP Resale Units: 301 Bryant Street,"3,026","2,592",0:01:36,740,81.89,36.29
Controller : City Service Auditor,"3,012","2,388",0:00:42,"1,702",61.69,46.45
Topic No. 151: Subletting and Replacement of Roommates | Rent Board,"3,005","2,586",0:02:53,"1,408",73.11,49.45
Office of Economic and Workforce Development : Search,"3,004","2,826",0:01:10,377,89.66,41.78
City and County of San Francisco : High School Poll Worker Program,"3,001","2,205",0:01:41,"1,427",63.14,50.78
San Francisco : Department of Public Health,"2,999","2,621",0:02:52,"2,067",82.63,75.96
Visit Our Office Today | Department of Building Inspection,"2,990","2,439",0:02:18,366,62.13,44.62
City and County of San Francisco : Technology Marketplace,"2,983","2,234",0:02:38,"1,622",68,56.99
Online Permits - Instructions and Registration Requirements | Department of Building Inspection,"2,983","2,284",0:02:18,663,56.11,35.23
City and County of San Francisco : Fees - Miscellaneous,"2,981","2,320",0:01:27,394,65.23,31.83
Mayor's Office of Housing and Community Development : BMR Ownership Progam Application Process Overview,"2,964","2,461",0:02:21,"1,476",52.37,44.37
Business Resource List | Treasurer & Tax Collector,"2,962","2,397",0:01:59,706,31.44,27.04
"How to File a Discrimination Complaint in Employment, Housing or Public Accommodation | Human Rights Commission","2,962","2,119",0:02:27,"1,303",67.2,56.82
Contact | Juvenile Probation Department,"2,960","2,268",0:01:10,439,67.43,42.6
Marriage: Civil Ceremony | Office of the County Clerk,"2,958","2,224",0:01:35,115,53.85,21.37
San Francisco Fire Department : Neighborhood Teams,"2,956","2,383",0:02:01,889,75.7,44.32
San Francisco Department of Human Resources : Sexual Harassment Policy,"2,951","2,539",0:01:04,347,68.59,13.96
"Transient Occupancy Tax (TOT) Frequently Asked Questions for Hosts, Website Companies and Merchants of Record | Treasurer & Tax Collector","2,950","2,361",0:02:55,"1,039",72.09,45.93
Office of Economic and Workforce Development : Workforce,"2,950","2,473",0:01:35,572,75.7,41.9
San Francisco Department of Human Resources : Employee Organizations (Unions),"2,949","2,692",0:01:46,764,92.54,43.81
San Francisco Fire Department : NERT Continuing Education Training Opportunities,"2,946","2,455",0:01:34,776,54.77,34.69
Neighborhood Emergency Response Team (NERT) | Fire Department,"2,943","2,198",0:01:47,"1,701",48.07,40.67
"Mayor's Office of Housing and Community Development : BMR Re-Rental Unit :1167 Market Street, Unit 922 (Trinity Place)","2,941","2,253",0:03:25,"2,199",80.13,71.95
San Francisco Rent Board : Topic No. 302: Capital Improvement Petitions - General Information,"2,939","2,405",0:02:03,"1,251",48.92,31.85
San Francisco Public Works : Streets with Public Works-Maintained Trees,"2,938","1,451",0:01:02,"1,033",21.1,34.89
Understanding Postmarks | Treasurer & Tax Collector,"2,938","2,757",0:01:47,921,92.83,46.97
San Francisco Fire Department : Division of Training,"2,936","2,064",0:00:38,663,57.32,23.16
Commercial Leasing: Innovative Reuse | Treasure Island Development Authority,"2,933","1,772",0:01:20,839,48.87,34.16
News releases | Treasurer & Tax Collector,"2,932","2,212",0:01:50,513,42.5,25.89
Director's Hearing | Department of Building Inspection,"2,929","1,767",0:00:19,328,29.48,21.47
San Francisco 311 : Homeless – Complaints about Homelessness,"2,925","2,453",0:03:03,"1,983",82.6,75.59
San Francisco 311 : Report a Building Issue,"2,921","2,151",0:00:38,528,55.87,21.36
San Francisco Fire Department : Airport Division,"2,903","1,988",0:00:34,905,64.64,31
San Francisco Police Department : Letter of Clearance,"2,902","2,590",0:01:22,"1,136",84.33,52.31
City and County of San Francisco : Important Forms,"2,901","2,404",0:03:47,"1,153",68,59.81
San Francisco Department of Human Resources : Online Tuition Reimbursement Process-MEA,"2,900","2,353",0:03:11,943,71.79,56.38
Owner-Builder Permit | Department of Building Inspection,"2,899","2,570",0:02:00,623,74.96,34.43
San Francisco Public Works : Reports,"2,898","1,329",0:00:28,493,14,24.78
Inspection of Residential Balconies and Decks | Department of Building Inspection,"2,896","1,998",0:03:30,"1,346",39.17,50.21
City and County of San Francisco : Public Notices,"2,896","1,916",0:00:23,253,51.38,12.09
Mayor's Office of Housing : Inclusionary Housing Program,"2,891","2,485",0:01:00,913,67.58,32.17
