"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"451","San Francisco 311 : Other City Services",1163,84.87,35.07,"1M 4S",9922,8034
"452","Mayor's Office of Housing and Community Development : Income Limits and Sales Price Levels for MOHCD Homeownership Programs",4018,78.25,53.56,"2M 33S",9880,8742
"453","San Francisco 311 : Shelter Reservation Waitlist",5575,75.8,64.43,"3M 16S",9880,7617
"454","San Francisco District Attorney : Press Room",4853,66.8,48.27,"1M 36S",9876,6725
"455","City and County of San Francisco : Directory of Certified LBEs",2697,75.68,68.04,"4M 27S",9819,8152
"456","San Francisco Rent Board : Topic No. 017: Overview of Covered and Exempt Units",1776,73.7,33.85,"2M 8S",9795,8552
"457","San Francisco Fire Department : Permits",5060,69.82,55.91,"2M 23S",9755,7990
"458","San Francisco Department of Human Resources : More Employment Links",1099,68.97,33.22,"2M 0S",9729,6809
"459","San Francisco Police Department : Physical Ability Test",3326,80.7,53.92,"4M 0S",9680,8791
"460","City and County of San Francisco : Small Business Assistance Center",2949,71.65,50.01,"1M 40S",9678,7179
"461","San Francisco Police Department : Airport",3102,69.37,32.57,"40S",9645,7958
"462","San Francisco Police Department : Compstat",5962,62.33,58.36,"2M 26S",9636,7669
"463","San Francisco Public Works : Streets & Streetscapes",3100,72.23,39.14,"1M 9S",9591,7153
"464","Board of Appeals | Board of Appeals",483,29.81,8.78,"24S",9583,5062
"465","San Francisco Department of Human Resources : Equal Employment Opportunity",2531,64.2,31.16,"1M 9S",9564,7765
"466","Mayor's Office of Housing : Affordable Housing Resources",2964,83.23,47.82,"2M 14S",9505,7913
"467","City and County of San Francisco : Voter Registration",7450,78.7,74.29,"3M 6S",9484,8260
"468","Controller : Accounting, Purchasing, EIS, and Grants Training",7779,92.02,83.2,"2M 48S",9455,8668
"469","San Francisco Police Department : Lateral Entry Program",3289,57.04,40.31,"1M 42S",9323,7714
"470","City and County of San Francisco : Future Elections",6063,65.91,60.58,"2M 11S",9300,8290
"471","Board of Supervisors : Sunshine Ordinance",4411,42.03,30.02,"1M 3S",9242,6970
"472","Controller : Redirect",8973,95.36,94.67,"24S",9228,8979
"473","Board of Supervisors : Youth Commission",5329,55.85,42.49,"1M 37S",9166,7113
"474","Mayor's Office of Housing and Community Development : New BMR Units: 555 Fulton Street (Fulton 555)",6039,70.54,62.88,"4M 18S",9138,7519
"475","Board of Supervisors : Ordinances",1854,59.71,16.86,"20S",9108,6552
"476","Office of the Mayor : Search",1228,90.47,37.72,"1M 2S",9099,8439
"477","San Francisco Rent Board : Topic No. 204: Evictions Based on Owner or Relative Move-In",4772,76.13,54.3,"3M 17S",9088,7890
"478","Committee on Information Technology : Home",5776,52.8,40.59,"51S",9081,7245
"479","San Francisco : Human Services Agency",6792,84.04,78.49,"2M 43S",9073,7735
"480","Mayor's Office of Housing and Community Development : Application for Inclusionary Housing Program BMR Ownership Units",3880,69.43,50.74,"2M 51S",9069,7440
"481","San Francisco Public Works : Sandbags",4940,39.15,52.69,"1M 1S",9060,5078
"482","San Francisco Port Department : Redirect",8794,96.51,95.83,"1M 2S",9046,8812
"483","San Francisco Department of Human Resources : How to Verify Education Requirements",5268,88.59,64.47,"1M 52S",9021,8211
"484","San Francisco 311 : Construction Tow-Away Zones",4444,69.33,55.97,"3M 26S",9013,6049
"485","Development Project | Treasure Island Development Authority",3676,45.83,34.84,"1M 15S",8980,7041
"486","Office of the Mayor : Mayor's Calendar",2373,64.35,37.13,"42S",8940,5243
"487","San Francisco District Attorney : Departments",2493,54.59,34.85,"1M 11S",8924,7058
"488","Mayor's Office of Housing and Community Development : Income Limits, Rent Limits, Price Level Information",2400,59.33,25.24,"41S",8900,7316
"489","San Francisco Port Department : Port Events : New Year's Eve Fireworks",4420,37.99,47.46,"35S",8891,4531
"490","Mayor's Office of Housing : Affordable Housing Developments in San Francisco",4168,64.13,48.73,"2M 40S",8880,6133
"491","City and County of San Francisco : Fees - Marriage & Domestic Partnership",1270,67.4,29.94,"1M 32S",8868,7712
"492","San Francisco Rent Board : Documents and Resources",724,60.77,17.15,"50S",8841,6918
"493","Controller : Accounting Guidelines & Procedures",7292,93.5,86.84,"3M 14S",8837,8221
"494","San Francisco Law Library : Legal Databases",1961,71.65,61.09,"4M 20S",8810,6491
"495","For Your Information - Page Not Found | Welcome",5331,57.42,47.06,"1M 17S",8789,7122
"496","About Us | Treasurer & Tax Collector",924,53.6,34.58,"2M 27S",8782,7221
"497","San Francisco Department of Human Resources : Multiple-Choice Test Preparation Manual",2650,66.75,39.91,"2M 26S",8779,7392
"498","San Francisco Rent Board : New Interest Rate for Deposits",4951,58.98,49.77,"2M 25S",8767,7026
"499","San Francisco Public Works : Sidewalk Inspection and Repair Program",3464,19.98,32.53,"1M 5S",8704,4082
"500","City and County of San Francisco : Lost Pets",4020,69.9,61.71,"3M 5S",8603,6592
"501","City and County of San Francisco : Fee Schedule",1074,72.63,36.8,"1M 32S",8502,7436
"502","Mayor's Office of Housing : Loan Assistance For First Time Homebuyers",3471,59.58,34.12,"1M 20S",8483,6791
"503","San Francisco Fire Department : Division of Fire Prevention and Investigation",3567,68.35,46.97,"1M 25S",8444,6392
"504","Board of Supervisors : Vacancy - Boards, Commissions & Task Forces",1969,48.25,23.31,"1M 12S",8435,3918
"505","Forms Center | Rent Board",1086,42.83,30.94,"2M 28S",8425,4361
"506","San Francisco Department of Human Resources : Workers' Compensation Division",3145,52.43,28.55,"55S",8376,6448
"507","San Francisco Arts Commission",4367,18.3,21.19,"28S",8335,5998
"508","San Francisco : Residents",3860,45.67,37.57,"1M 3S",8332,6974
"509","San Francisco Rent Board : Topic No. 013: The Rent Board Fee",2751,70.34,41.72,"2M 7S",8331,7289
"510","For Your Information - Page Not Found | Department of Building Inspection",3686,42.04,32.93,"1M 5S",8327,6926
"511","San Francisco Police Department : Parking Citation and Moving Violation Information",6543,88.57,82.49,"2M 59S",8319,7602
"512","San Francisco Fire Department : About Us",2164,64.83,29.48,"53S",8271,6032
"513","San Francisco Public Works : Community Clean Team",3321,27.4,38.96,"43S",8221,3956
"514","Mayor's Office of Housing : Inclusionary Housing BMR Rental Program Overview",2383,77.05,40.69,"2M 1S",8220,6732
"515","Search | Civil Service Commission",132,41.67,12.05,"34S",8208,6587
"516","San Francisco 311 : Search for Information",802,81.3,28.64,"43S",8206,6217
"517","Map Resources | Department of Building Inspection",422,39.39,29.81,"1M 35S",8196,4337
"518","San Francisco Fire Department : Fire Department Divisions",1432,94.83,19.55,"13S",8181,5009
"519","San Francisco Department of Human Resources : Classification Actions",5333,89.31,71.5,"3M 26S",8132,6826
"520","City and County of San Francisco : Family Friendly Workplace Ordinance (FFWO)",4596,83.68,61.48,"3M 7S",8128,7114
"521","City and County of San Francisco : A. Overview",949,33.19,16.2,"1M 18S",8128,5725
"522","Mayor's Office of Housing and Community Development : Multi-Family Units: 280 Beale Street",3016,77.95,49.67,"2M 24S",8106,6563
"523","CCSFTTX Online Return Instructions 2014 Posted 12.19.14.pdf | Treasurer & Tax Collector",339,37.76,32.93,"3M 35S",8100,5510
"524","San Francisco Rent Board : Topic No. 102: Security Deposits - General Information",2633,75.01,42.64,"2M 4S",8094,7175
"525","City and County of San Francisco : Past Election Results",990,66.57,41.25,"2M 15S",8090,4607
"526","San Francisco Department of Human Resources : Employee Income or Employment Verification",1372,71.06,30.3,"1M 7S",8090,6493
"527","San Francisco Department of Emergency Management : EMT & Paramedic Info",1737,84.97,56.06,"2M 27S",8089,6118
"528","San Francisco Rent Board : Topic No. 053: Banked Rent Increases",2149,68.4,32.52,"2M 9S",8056,6957
"529","San Francisco Rent Board : Topic No. 210: Evictions of Roommates and Subtenants",2990,74.95,41.27,"2M 10S",8047,7062
"530","City and County of San Francisco : Fictitious Business Name (FBN) Change/Refiling/Renewal",3180,58.18,38.16,"1M 29S",8032,5938
"531","Mayor's Office of Housing : BMR Re-Rental Unit: 55 9th Street, Unit 318 (Ava)",4889,80.55,63.88,"2M 56S",8023,6801
"532","San Francisco Fire Department : Redirect",7751,96.66,95.67,"1M 1S",8016,7776
"533","Legalize Your Illegal Units Today | Department of Building Inspection",4061,67.89,58.13,"4M 4S",8015,5821
"534","San Francisco Port Department : Cargo Services",1308,15.6,19.52,"26S",8007,3224
"535","Mayor's Office of Housing : New BMR Unit: 2421 16th Street (16th and Bryant)",3538,79.9,51.39,"2M 29S",7977,6612
"536","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 55 9th Street, Unit 1109",5511,73.92,67.15,"4M 13S",7967,6160
"537","Operating a Business | Treasurer & Tax Collector",185,26.49,3.42,"15S",7963,5537
"538","San Francisco Department of Human Resources",3695,43.14,28.35,"43S",7958,6006
"539","City and County of San Francisco : Resources",2504,73.68,42.47,"1M 42S",7956,5729
"540","New StreetSpace Request",1095,56.8,11.09,"40S",7937,1278
"541","San Francisco Port Department : Agendas",281,0.71,2.85,"5S",7908,2728
"542","City and County of San Francisco : Fees - Marriage Licenses & Domestic Partnerships",1027,64.07,28.03,"1M 25S",7859,6772
"543","City and County of San Francisco : Vote by Mail",4112,69.07,58.13,"2M 6S",7824,5932
"544","Mayor's Office of Housing : Approved First-Time Home Buyer Counseling Agencies",2081,78.23,49.21,"3M 13S",7809,6117
"545","Business Registration, Gross Receipts Tax and Payroll Expense Tax Frequently Asked Questions | Treasurer & Tax Collector",171,20.47,6.73,"37S",7784,5875
"546","San Francisco Rent Board : Fact Sheet 1 - General Information",4061,70.89,57.37,"3M 42S",7784,6985
"547","Help | Welcome",2101,52.33,37.8,"1M 2S",7764,6019
"548","San Francisco Rent Board : Fact Sheet 3 - Security Deposits, Interest on Security Deposits, and The Rent Board Fee",3748,74.09,57.21,"3M 32S",7751,6873
"549","City and County of San Francisco : Entertainment Commission",4771,29.36,28.27,"56S",7749,5838
"550","Mayor's Office of Housing and Community Development : New Rentals: 55 9th Street - AVA",3962,84.56,56.99,"2M 16S",7721,6866
"551","San Francisco Rent Board : What's New",845,43.2,17.89,"55S",7699,4864
"552","Mayor's Office of Housing and Community Development : Contact",1757,89.36,50.47,"1M 59S",7678,6595
"553","Mayor's Office of Housing : Inclusionary Housing BMR Ownership Program Overview",5231,74.29,69.52,"4M 21S",7671,6706
"554","City and County of San Francisco : SF City ID Card - Online Appointment",1956,62.83,54.01,"3M 22S",7661,5873
"555","San Francisco : Key City Phone Numbers",5841,83.75,77.24,"2M 42S",7661,6369
"556","San Francisco Port Department : Heron's Head Park",3235,22.23,37.1,"38S",7631,3408
"557","Controller : About the Controller’s Office",3303,80.47,48.81,"52S",7625,6203
"558","San Francisco Fire Department : 2010 Administrative Bulletins",5905,90.72,79.31,"2M 22S",7604,6453
"559","Mayor's Office of Housing : BMR LEP Resale Units: 246 2nd Street",4100,78.8,59.89,"3M 0S",7602,5981
"560","City and County of San Francisco : Meetings",672,58.18,14.84,"50S",7576,4218
"561","San Francisco Port Department : Planning & Development",984,5.79,12.3,"23S",7568,3044
"562","Mayor's Office of Housing and Community Development",4156,66.79,49.79,"54S",7533,5664
"563","SFGov : San Francisco Enterprise GIS Program - SFGIS",6107,81.48,78.33,"2M 24S",7523,6125
"564","Mayor's Office of Housing and Community Development : BMR Resale Unit: 3617 Wawona Street",3555,77.36,49.91,"1M 52S",7504,6022
"565","San Francisco 311 : Contact Us",2295,70.73,49.6,"1M 26S",7494,6325
"566","San Francisco Port Department : Water Taxis",3437,47.77,46.48,"55S",7474,3963
"567","Property Tax Calendar | Treasurer & Tax Collector",4051,54.35,43.14,"50S",7471,6322
"568","San Francisco Public Works : Pit Stop",3726,26.89,48.79,"35S",7466,3890
"569","City and County of San Francisco : O. HCSO and the Affordable Care Act",2526,54.47,34.71,"2M 15S",7410,5808
"570","Controller : Contact Us",2790,88.89,60.27,"1M 43S",7410,6644
"571","San Francisco 311 : Homepage of San Francisco 311",5476,44.41,42.21,"59S",7377,6262
"572","Expanded Over-The-Counter Services | Department of Building Inspection",1491,53.04,32.66,"1M 55S",7373,5466
"573","San Francisco Department of Human Resources : HR Forms (For Internal use Only)",1393,84.85,40.17,"2M 14S",7364,5758
"574","Annual_Filing_Online_Instructions_2014_Rev_1.16.15.pdf | Treasurer & Tax Collector",265,27.17,30.51,"3M 59S",7362,5065
"575","City and County of San Francisco : Health Code",6104,83.34,80.09,"3M 22S",7357,6169
"576","Mayor's Office of Housing and Community Development : New BMR LEP Units: The SF Shipyard",1843,77.1,34.07,"1M 44S",7350,6267
"577","Mayor's Office of Housing : New BMR Units: 35 Dolores Street (Thirty Five Dolores)",2357,78.66,43.79,"2M 39S",7332,6019
"578","City and County of San Francisco : City Hall Tour",702,19.37,9.66,"22S",7322,3621
"579","Meetings | Board of Appeals",893,18.14,13.62,"32S",7320,4354
"580","City and County of San Francisco : Step 4. Register the Business",3606,66.25,54.13,"2M 34S",7303,5073
"581","San Francisco District Attorney : Victim Services",4425,62.17,50.45,"1M 35S",7301,5737
"582","Mayor's Office of Housing and Community Development : Middle Income Rental Housing Program",2177,68.95,35.12,"1M 16S",7295,5460
"583","Department of Elections",4048,34.94,35.17,"1M 48S",7293,4489
"584","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 10 Cyril Magnin Street Unit 509 (Lofts at One Powell)",5249,78.21,71.65,"3M 49S",7288,5872
"585","San Francisco Department of Human Resources : New Employee Orientation (NEO)",1817,76.17,35.31,"1M 40S",7253,5269
"586","San Francisco 311 : Building and Construction",624,80.77,14.83,"27S",7244,5587
"587","San Francisco Rent Board : Rules & Regulations",771,37.48,11.49,"46S",7240,4937
"588","Annual_Filing_Online_Instructions_2014_Rev_2.19.15.pdf | Treasurer & Tax Collector",339,38.42,27.3,"2M 54S",7232,5035
"589","Committee on Information Technology : Committee on Information Technology",676,80.33,19.17,"18S",7225,5769
"590","San Francisco 311 : Utilities",853,71.75,16.53,"24S",7225,5915
"591","City and County of San Francisco : Prevailing Wage",3599,64.88,50.92,"2M 10S",7199,4696
"592","Mayor's Office of Housing : Inclusionary Housing Below Market Rate (BMR) Rental Program",2671,59.87,41.98,"1M 38S",7194,5407
"593","San Francisco Department of Emergency Management : Policy Manual: Individual Files",2376,65.49,45.96,"3M 46S",7174,3900
"594","San Francisco Police Department : SF Police General Orders",4312,77.42,61.91,"3M 13S",7162,5212
"595","San Francisco Public Works : About Us",801,22.22,19.19,"28S",7138,3614
"596","San Francisco Public Works : Refuse Collection and Disposal Rates (Garbage Rates)",3489,25.45,45.5,"34S",7136,3734
"597","San Francisco Fire Department : Plan Check",3925,77.22,62.5,"2M 40S",7112,5988
"598","Civil Service Commission | Civil Service Commission",331,20.24,8.82,"23S",7105,4142
"599","Brochures | Department of Building Inspection",417,42.11,25.67,"2M 14S",7098,4529
"600","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 118 Wood Street, Unit 103",3786,74.8,54.78,"2M 6S",7088,5950
"601","San Francisco Rent Board : Topic No. 253: Renting an Illegal Unit",2065,72.83,33.81,"1M 37S",7081,6339
"602","City and County of San Francisco : Programs, Projects",214,62.15,18.6,"34S",7064,5404
"603","City and County of San Francisco : Additional Information",223,68.61,7.53,"14S",7041,5006
"604","City and County of San Francisco : Real Estate Division",3527,45.76,36.72,"1M 22S",7039,5000
"605","Taxes | Welcome",1690,34.57,48.41,"1M 4S",6967,5221
"606","Controller : eMerge Home Page",5173,85.73,74.01,"2M 0S",6950,6185
"607","Board of Supervisors : Ordinances 2015",886,82.96,29.46,"1M 19S",6945,5037
"608","Job Opportunities | Adult Probation Department",2716,41.59,48.57,"1M 19S",6862,4391
"609","City and County of San Francisco : ADA Requirements and Your Small Business",5059,78.53,72.76,"3M 0S",6833,5393
"610","San Francisco Public Works : Envista",1909,11.26,29.91,"41S",6831,3102
"611","San Francisco Public Works : Pigeons: Reasons why NOT to feed the pigeons",4018,47.54,58.57,"37S",6817,4208
"612","San Francisco Port Department : Commission",1505,13.36,18.94,"21S",6816,3175
"613","City and County of San Francisco : Minimum Compensation Ordinance (MCO)",3344,59.3,49.4,"2M 48S",6810,4983
"614","City and County of San Francisco : Reentry Council",3645,60.69,40.45,"1M 18S",6804,4398
"615","San Francisco Rent Board : Topic No. 012: Overview of Rent Board Services-What We Do and Don't Do",645,82.79,26.05,"1M 13S",6803,6159
"616","San Francisco : Department of Aging and Adult Services",5399,83.27,80.35,"3M 5S",6799,5705
"617","Mayor's Office of Housing and Community Development : Middle Income Rental Units: 1400 Mission Street",4065,81.57,63.47,"2M 37S",6754,5903
"618","City and County of San Francisco : Office of Civic Engagement & Immigrant Affairs",3004,61.52,41.83,"1M 42S",6730,4364
"619","City and County of San Francisco : B. Covered Employers",750,49.07,26.06,"2M 21S",6712,5372
"620","City and County of San Francisco : Alemany Flea Market",5556,80.09,77.37,"2M 45S",6647,5766
"621","San Francisco Port Department : Leasing Port Property",1105,17.56,21.17,"36S",6637,2581
"622","Mayor's Office of Housing and Community Development : BMR Resale Unit: 942 Market Street, Unit 205 (AKA 30 Mason Street)",3157,77.32,51.5,"2M 6S",6631,5352
"623","Tree Planting Application",2861,65.78,34.98,"2M 6S",6624,2966
"624","San Francisco Public Works : Sidewalk Repair",2723,22.59,41.79,"1M 2S",6609,3238
"625","San Francisco Police Department : Background Unit and Current Candidate Information",1907,54.22,34.96,"1M 54S",6594,5559
"626","San Francisco 311 : Litter, Garbage and Recycling - All Matters - 106648",3811,69.96,60.74,"1M 41S",6572,4786
"627","San Francisco Department of Human Resources : City University",3360,47.83,36.66,"2M 10S",6554,5382
"628","City and County of San Francisco : Jobs",3007,76.95,51.96,"58S",6544,4335
"629","SF Firefighters Toy Program | Fire Department",4757,46.26,75.73,"4M 51S",6505,5385
"630","On-Island Attractions | Treasure Island Development Authority",1933,62.23,44.63,"1M 12S",6486,4887
"631","San Francisco Public Works : Minor Sidewalk Encroachment Permit",2049,12.88,31.37,"1M 16S",6468,2991
"632","San Francisco Rent Board : Topic No. 101: This Year's Security Deposit Interest Rate",2668,70.46,48.44,"2M 7S",6424,5765
"633","San Francisco Police Department : Applicant Personal History Statement",4661,80.03,75.77,"4M 35S",6421,5411
"634","City and County of San Francisco : Domestic Partnership",1616,13.92,9.35,"20S",6414,3765
"635","Mayor's Office of Housing and Community Development : BMR Resale: 2000 Ellis Street, Unit 103",3845,67.26,58.74,"3M 25S",6404,4895
"636","Board of Supervisors : Legislation Introduced",1071,49.95,18.43,"34S",6402,4994
"637","City and County of San Francisco : Campaign Services",842,45.96,12.87,"27S",6395,4778
"638","Record Request Form | Department of Building Inspection",2579,61.26,49.14,"2M 23S",6386,5218
"639","San Francisco Rent Board : Topic No. 103: Interest on Security Deposits",1436,67.06,31.29,"1M 51S",6380,5455
"640","City and County of San Francisco : Permit Applications",2231,54.46,45.3,"2M 37S",6378,4097
"641","San Francisco Police Department : Public Records Request",3785,75.98,63.61,"2M 32S",6340,5675
"642","Board of Supervisors : Resolutions",1211,64.57,16.66,"19S",6338,4538
"643","San Francisco Port Department : Projects",835,3.35,17.04,"33S",6332,2047
"644","City and County of San Francisco : F. Revocable & Irrevocable Health Care Expenditures",1051,57.94,30.1,"2M 37S",6332,4684
"645","Mayor's Office of Housing and Community Development : BMR LEP Resale Units: 246 2nd Street",1556,76.93,38.44,"2M 0S",6330,5297
"646","San Francisco Public Works : Apprenticeship Programs",2540,19.33,36.06,"44S",6320,3021
"647","Ordinance & Regulations | Rent Board",1287,25.62,22.22,"1M 20S",6293,4316
"648","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 388 Beale Street, Unit 609 & 1109",3855,72.06,62.8,"3M 44S",6266,5017
"649","Board of Supervisors : Public Safety and Neighborhood Services",2834,76.57,54.28,"2M 11S",6266,4511
"650","City and County of San Francisco : PROJECT PULL",3925,30.29,28.86,"43S",6262,4786
"651","San Francisco Rent Board : Topic No. 252: Landlord Access to a Unit",2361,77.89,43.8,"2M 15S",6253,5599
"652","Development Impact Fee - Collection Process & Procedure | Department of Building Inspection",2026,65.71,45.94,"1M 45S",6247,4819
"653","Controller : Whistleblower Program",4331,74.53,64.13,"1M 31S",6236,5416
"654","San Francisco Port Department : Maritime",474,12.87,13.66,"21S",6231,2978
"655","Quarterly Installment Payments | Treasurer & Tax Collector",437,31.12,6.12,"23S",6230,4566
"656","About BIC | Department of Building Inspection",1234,44.33,25.04,"1M 13S",6211,4537
"657","San Francisco Public Works : Street and Significant Tree Pruning",2292,27.62,36.45,"1M 0S",6186,3199
"658","City and County of San Francisco : Vendor Opportunities",1231,57.92,38.6,"1M 36S",6184,4092
"659","Mayor's Office of Housing and Community Development : Inclusionary Housing Program",2588,66.5,37.39,"1M 13S",6183,5334
"660","San Francisco Fire Department : Chief of Department",1121,75.91,19.99,"27S",6174,4458
"661","Mayor's Office of Housing and Community Development : Community Development",2637,72.81,48.14,"1M 44S",6170,5019
"662","San Francisco Department of Human Resources : Management Test Battery Information",1812,70.42,39.85,"1M 33S",6155,4618
"663","Mayor's Office of Housing : Lender List",2673,81.33,56.71,"3M 16S",6107,5384
"664","Mayor's Office of Housing and Community Development : BMR Resale: 2040 Fell Street, Unit 3",3877,69.07,61.23,"3M 59S",6090,4580
"665","About Us | Department of Building Inspection",618,42.1,17.07,"39S",6086,4887
"666","San Francisco Public Works",2591,76.15,44.46,"33S",6082,4484
"667","San Francisco Department of Emergency Management : Redirect",6060,99.62,99.54,"3M 23S",6077,6066
"668","Mayor's Office of Housing : Downpayment Assistance Loan Program (DALP)",3249,80.12,64,"4M 6S",6073,5248
"669","Board of Supervisors : Resolutions 2015",578,78.89,23.61,"59S",6062,4211
"670","San Francisco Port Department : Waterfront Land Use Plan",1073,4.1,12.46,"23S",6005,2113
"671","City and County of San Francisco : Notary Public",929,20.34,10.16,"15S",5992,3675
"672","Full Commission | San Francisco Arts Commission",311,49.52,10.64,"22S",5957,3821
"673","San Francisco Rent Board : Our Services",1184,63.01,37.83,"1M 56S",5940,4858
"674","Island Attractions | Treasure Island Development Authority",1216,63.49,38.9,"1M 13S",5939,4428
"675","Mayor's Office of Housing and Community Development : New BMR Units: 35 Dolores Street (Thirty Five Dolores)",1334,82.38,34.04,"1M 49S",5904,5108
"676","San Francisco 311 : Mobile SF311 App",4375,84.64,74.83,"2M 9S",5884,5363
"677","San Francisco : Superior Court",4471,80,77.5,"2M 22S",5880,5059
"678","San Francisco Rent Board : Topic No. 258: Noise Problems",2664,78.04,47.9,"1M 50S",5871,5188
"679","We All Have a Role in Ending Domestic Violence | Department on the Status of Women",5014,87.08,83.75,"3M 45S",5865,5116
"680","San Francisco Public Works : Projects",1674,67.08,32.44,"48S",5847,4300
"681","Mayor's Office of Housing : BMR Re-Rental Unit: 3930 24th Street, Unit 7",4134,80.04,69.02,"3M 8S",5836,4928
"682","San Francisco Fire Department : Fire Commission Home",2799,28.51,20.27,"32S",5835,4646
"683","San Francisco Fire Department : 2015",1159,83.18,52.37,"2M 4S",5820,4848
"684","Mayor's Office of Housing and Community Development : Current Listings: City Second Program",1449,73.02,36.52,"1M 45S",5818,4984
"685","City and County of San Francisco : Health Care Accountability Ordinance (HCAO)",2212,63.11,49.97,"4M 3S",5817,4298
"686","Mayor's Office of Housing and Community Development : BMR Resale Unit: 55 Page Street, Unit 427",2260,74.51,44.83,"1M 52S",5811,4785
"687","San Francisco Department of Human Resources : Request for Live Scan Service Form",4358,80.47,72.71,"2M 38S",5809,4585
"688","San Francisco Public Works : Plant Lists and Plant Palettes",2831,24.27,48.39,"47S",5795,3005
"689","Board of Supervisors : About",640,74.38,25.42,"1M 5S",5787,4621
"690","City and County of San Francisco : E. Making Health Care Expenditures",805,45.59,25.26,"2M 28S",5784,4277
"691","Adoption Center | Animal Care & Control",304,19.16,35.25,"1M 30S",5782,4071
"692","Property Tax FAQs | Treasurer & Tax Collector",1325,64.98,35.48,"2M 6S",5773,4817
"693","San Francisco Department of Human Resources : Entry Level (Q-2) Police Officer",420,74.52,28.93,"1M 2S",5770,4437
"694","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 2121 Third Street, Unit 110",3728,72.48,62.78,"3M 12S",5753,4561
"695","San Francisco 311 : Business",438,90.41,39.99,"56S",5746,4440
"696","San Francisco Police Department : Basic Training",1556,82.2,30.55,"32S",5745,4740
"697","City and County of San Francisco : General Services Agency",1032,31.98,17.82,"30S",5734,4247
"698","San Francisco Public Works : Cafe Tables and Chairs",2388,23.87,43.79,"1M 5S",5713,2777
"699","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 1600 15th Street, Unit 231",3543,79.48,62.47,"2M 41S",5681,4785
"700","San Francisco Public Works : Street Improvement Permit",1931,13.62,31.12,"1M 6S",5681,2667
"701","City and County of San Francisco : Rotunda and Grand Staircase",83,50.6,6.6,"14S",5678,4233
"702","City and County of San Francisco : Volunteer Services",2563,81,69.13,"3M 3S",5676,5091
"703","Contact Us | Adult Probation Department",1735,71.23,58.71,"1M 59S",5667,4493
"704","San Francisco Port Department : JRH How to Get Here",1197,9.52,34.63,"51S",5665,2588
"705","Mayor's Office of Housing and Community Development : San Francisco Housing Resource Guide",974,83.57,30.63,"1M 16S",5655,4799
"706","Mayor's Office of Housing and Community Development : BMR Resale: 1 Crescent Way, Unit 1106",3575,73.23,61.48,"2M 50S",5654,4622
"707","Office of the Mayor : Mayoral Offices",1057,71.62,35.02,"58S",5642,4229
"708","City and County of San Francisco : 2014 Events Brochure and Featured Vendors Directory",516,70.54,36.75,"1M 43S",5635,4253
"709","Mayor's Office of Housing and Community Development : BMR Resale: 333 1st Street, Unit N807",3417,71.55,62.92,"3M 12S",5628,4345
"710","San Francisco Port Department : Seawall Lot 337 (SWL 337) & Pier 48",1071,8.5,20.47,"31S",5627,2319
"711","San Francisco Public Works : Bureau of Street Use and Mapping",2384,16.44,31.92,"48S",5618,2614
"712","San Francisco : Housing Authority",4021,76.77,72.66,"2M 21S",5603,4336
"713","City and County of San Francisco : Related Links",206,65.53,21.25,"36S",5576,4011
"714","Mayor's Office of Housing and Community Development : Inclusionary Below Market Rate Rental Program Overview",931,84.96,35.17,"1M 52S",5570,4672
"715","San Francisco 311 : Community",527,86.91,22.35,"33S",5565,4525
"716","City and County of San Francisco : Election Results and Archives",3323,39.21,36.21,"47S",5557,4721
"717","Mayor's Office of Housing and Community Development : BMR Resale Unit: 855 Folsom Street, Unit 742",2554,79.6,49.06,"1M 44S",5546,4656
"718","City and County of San Francisco : FOR INTERNS",1249,49.56,30.26,"54S",5545,4224
"719","City and County of San Francisco : K. Health Surcharges",3476,78.43,62.58,"2M 25S",5537,4695
"720","Third Party Taxes and Fees | Treasurer & Tax Collector",2334,72.46,39.49,"1M 15S",5533,3979
"721","San Francisco 311 : Marriage - All Matters - 106742",3300,60.7,54.39,"2M 49S",5532,3412
"722","San Francisco 311 : Street and Sidewalk Defects",1664,79.27,61.37,"2M 54S",5527,4547
"723","Mayor's Office of Housing : New BMR Units: 870 Harrison Street",1341,84.34,37.78,"2M 4S",5527,4504
"724","San Francisco District Attorney : Biography",2157,72.18,48.02,"1M 35S",5514,4810
"725","City and County of San Francisco : Domestic Partners",863,16.45,8.11,"18S",5509,3101
"726","Mayor's Office of Housing and Community Development : NOFAs, RFP, RFQ, Bids, Jobs",2394,85.55,55.47,"1M 45S",5500,4617
"727","Employment Opportunities | Fire Department",2487,27.4,31.97,"1M 18S",5489,4394
"728","San Francisco GovTV : Home",3633,67.8,61.29,"2M 57S",5482,3941
"729","San Francisco 311 : Transit (SF Muni)",2353,84.45,76.08,"3M 3S",5477,4865
"730","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit :1188 Mission Street, Unit 922 (Trinity Place)",2995,63.94,54.67,"3M 0S",5475,4338
